State,Agency,Category,Offense,Crimes
California,Covina,Total,"Total, all crimes","3,097"
California,Crescent City,Total,"Total, all crimes","1,079"
California,CSU: Bakersfield,Total,"Total, all crimes",17
California,CSU: Channel Islands,Total,"Total, all crimes",131
California,CSU: Chico,Total,"Total, all crimes",285
California,CSU: Dominguez Hills,Total,"Total, all crimes",34
California,CSU: Fresno,Total,"Total, all crimes",298
California,CSU: Fullerton,Total,"Total, all crimes",595
California,CSU: Hayward,Total,"Total, all crimes",45
California,CSU: Long Beach,Total,"Total, all crimes",164
California,CSU: Los Angeles,Total,"Total, all crimes",22
California,CSU: Monterey Bay,Total,"Total, all crimes",118
California,CSU: Northridge,Total,"Total, all crimes",189
California,CSU: Sacramento,Total,"Total, all crimes",136
California,CSU: San Bernardino,Total,"Total, all crimes",60
California,CSU: San Jose,Total,"Total, all crimes",691
California,CSU: San Marcos,Total,"Total, all crimes",196
California,CSU: Stanislaus,Total,"Total, all crimes",63
California,CSU: Stockton,Total,"Total, all crimes",NA
California,Cudahy,Total,"Total, all crimes",908
California,Cuesta College,Total,"Total, all crimes",11
California,Culver City,Total,"Total, all crimes","2,388"
California,Cupertino,Total,"Total, all crimes",333
California,Cypress,Total,"Total, all crimes","1,516"
California,Daly City,Total,"Total, all crimes","2,868"
California,Dana Point,Total,"Total, all crimes","1,073"
California,Danville,Total,"Total, all crimes",688
California,Davis,Total,"Total, all crimes","1,291"
California,Del Mar,Total,"Total, all crimes",183
California,Del Norte County,Total,"Total, all crimes",664
California,Del Norte Highway Patrol,Total,"Total, all crimes",291
California,Del Rey Oaks,Total,"Total, all crimes",38
California,Delano,Total,"Total, all crimes","2,550"
California,Desert Hot Springs,Total,"Total, all crimes","1,943"
California,Diamond Bar,Total,"Total, all crimes",760
California,Dinuba,Total,"Total, all crimes","1,722"
California,Dixon,Total,"Total, all crimes",366
California,Dorris,Total,"Total, all crimes",50
California,Dos Palos,Total,"Total, all crimes",396
California,Downey,Total,"Total, all crimes","3,115"
California,DPR: Angeles,Total,"Total, all crimes",165
California,DPR: Bay Area,Total,"Total, all crimes",31
California,DPR: Big Sur,Total,"Total, all crimes",NA
California,DPR: Calaveras County,Total,"Total, all crimes",1
California,DPR: Capital,Total,"Total, all crimes",202
California,DPR: Channel Coast,Total,"Total, all crimes",154
California,DPR: Chino Hills,Total,"Total, all crimes",NA
California,DPR: Colorado,Total,"Total, all crimes",NA
California,DPR: Contra Costa County,Total,"Total, all crimes",NA
California,DPR: Eel River,Total,"Total, all crimes",NA
California,DPR: El Dorado County,Total,"Total, all crimes",NA
California,DPR: Four Rivers District,Total,"Total, all crimes",56
California,DPR: Gabilan,Total,"Total, all crimes",NA
California,DPR: Gaviota,Total,"Total, all crimes",NA
California,DPR: Gold Fields District,Total,"Total, all crimes",426
California,DPR: Gold Mines,Total,"Total, all crimes",NA
California,DPR: Hollister Hills,Total,"Total, all crimes",9
California,DPR: Hungry Valley,Total,"Total, all crimes",19
California,DPR: Hungry Valley,Total,"Total, all crimes",NA
California,DPR: Inland Empire,Total,"Total, all crimes",184
California,DPR: Lake County,Total,"Total, all crimes",NA
California,DPR: Los Angeles County,Total,"Total, all crimes",NA
California,DPR: Marin County,Total,"Total, all crimes",54
California,DPR: Mendocino Headqtrs,Total,"Total, all crimes",61
California,DPR: Montane District,Total,"Total, all crimes",NA
California,DPR: Monterey County,Total,"Total, all crimes",52
California,DPR: Mt San Jacinto,Total,"Total, all crimes",NA
California,DPR: Napa County,Total,"Total, all crimes",NA
California,DPR: North Coast Redwoods,Total,"Total, all crimes",132
California,DPR: Northern Buttes,Total,"Total, all crimes",142
California,DPR: Oceano Dunes,Total,"Total, all crimes",234
California,DPR: Ocotillo Wells,Total,"Total, all crimes",117
California,DPR: Orange Coast,Total,"Total, all crimes",530
California,DPR: Orange County,Total,"Total, all crimes",NA
California,DPR: Riverside County,Total,"Total, all crimes",NA
California,DPR: Russian River,Total,"Total, all crimes",162
California,DPR: Salton Sea,Total,"Total, all crimes",NA
California,DPR: San Bernardino Cnty,Total,"Total, all crimes",NA
California,DPR: San Diego Coast,Total,"Total, all crimes",145
California,DPR: San Diego County,Total,"Total, all crimes",NA
California,DPR: San Francisco Count,Total,"Total, all crimes",NA
California,DPR: San Joaquin,Total,"Total, all crimes",44
California,DPR: San Luis Obispo Coast,Total,"Total, all crimes",21
California,DPR: San Simeon,Total,"Total, all crimes",NA
California,DPR: Santa Barbara Cnty,Total,"Total, all crimes",NA
California,DPR: Santa Cruz County,Total,"Total, all crimes",NA
California,DPR: Santa Cruz Mountains,Total,"Total, all crimes",195
